section_id,state_name,climate_zone,gps_family,pavement_type,subgrade_bin,E_subgrade,is_baseline,ltp_n_layers,ltp_total_h_cm,mapped_total_h_cm,h1_cm,h2_cm,h3_cm,h4_cm,h5_cm,feasible,critical,B1,B2,B3,B4,DSR,SCR,compliant,C_const_cny,C_const_usd,NPV_usd,C_maint_NPV_usd,n_maint_events,wall_clock_sec,status,
16_1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,failed,
30_7076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,failed,
04_1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,failed,
04_1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,failed,
06_2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,failed,
27_1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,failed,
27_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,failed,
12_1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,failed,
12_4097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,failed,
48_1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,failed,
48_1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,failed,
48_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,failed,
