section_id,state_name,climate_zone,gps_family,pavement_type,subgrade_bin,E_subgrade,is_baseline,ltp_n_layers,ltp_total_h_cm,mapped_total_h_cm,h1_cm,h2_cm,h3_cm,h4_cm,h5_cm,feasible,critical,B1,B2,B3,B4,DSR,SCR,compliant,C_const_cny,C_const_usd,NPV_usd,C_maint_NPV_usd,n_maint_events,wall_clock_sec,status,
16_1010,Idaho,Dry-Freeze,GPS-1,flexible,Medium,77.76805677068144,False,4,44.5,44.5,5.0,7.0,8.0,12.2,12.2,True,B3_ac_permanent_deformation,4.56,0,1.11,1.89,1.0,1.0,True,261.7,36.35,49.39,13.04,5,51.0,ok,
30_7076,Montana,Dry-Freeze,GPS-2,semi_rigid,Medium,58.87114577967474,False,4,96.0,96.0,15.2,21.3,24.4,22.9,12.2,False,B3_ac_permanent_deformation,1243.37,5.93,0.56,10.23,1.0,0.75,False,823.6,114.38,127.43,13.04,5,45.3,ok,
04_1034,Arizona,Dry-NoFreeze,GPS-1,flexible,Medium,91.29293620906081,False,3,33.0,33.0,5.7,8.0,9.1,6.1,4.1,True,B3_ac_permanent_deformation,2.31,0,1.0,1.72,1.0,1.0,True,282.5,39.24,52.28,13.04,5,44.2,ok,
04_1065,Arizona,Dry-NoFreeze,GPS-2,semi_rigid,Medium,91.29293620906081,False,4,62.2,62.2,3.8,5.3,6.1,34.3,12.7,True,B3_ac_permanent_deformation,15.45,5.38,1.79,3.01,1.0,1.0,True,314.7,43.71,56.75,13.04,5,44.3,ok,
06_2004,California,Dry-NoFreeze,GPS-2,semi_rigid,Stiff,112.4859392575928,False,4,78.0,78.0,7.4,10.4,11.9,36.3,11.9,True,B3_ac_permanent_deformation,77.77,5.28,1.09,5.98,1.0,1.0,True,492.8,68.45,81.49,13.04,5,45.8,ok,
27_1085,Minnesota,Wet-Freeze,GPS-1,flexible,Medium,86.2905835400712,False,3,26.7,26.7,4.8,6.7,7.6,5.3,2.3,False,B1_asphalt_fatigue,0.98,0,1.19,1.2,0.7448,0.6667,False,234.8,32.61,72.75,40.14,8,45.4,ok,
27_2023,Minnesota,Wet-Freeze,GPS-2,semi_rigid,Stiff,131.2335958005249,False,3,40.6,40.6,1.9,2.7,3.0,10.2,22.9,False,B1_asphalt_fatigue,0.23,1036.49,3.54,1.23,1.0,0.75,False,164.7,22.88,63.02,40.14,8,44.3,ok,
12_1060,Florida,Wet-NoFreeze,GPS-1,flexible,Stiff,286.3278453829635,False,3,39.4,39.4,7.6,10.7,12.2,6.3,2.5,False,B3_ac_permanent_deformation,12.91,0,0.71,3.98,1.0,0.6667,False,372.6,51.75,64.79,13.04,5,45.6,ok,
12_4097,Florida,Wet-NoFreeze,GPS-2,semi_rigid,Stiff,286.3278453829635,False,7,48.8,48.8,4.8,6.8,7.7,17.8,11.7,True,B3_ac_permanent_deformation,21.64,17.46,1.71,3.36,1.0,1.0,True,308.6,42.86,55.9,13.04,5,44.4,ok,
48_1109,Texas,Wet-NoFreeze,GPS-2,semi_rigid,Medium,99.98750156230471,False,3,33.0,33.0,3.8,5.3,6.1,15.2,2.5,True,B4_subgrade_strain,3.44,13.02,1.82,1.33,1.0,1.0,True,235.5,32.7,45.74,13.04,5,44.5,ok,
48_1076,Texas,Dry-NoFreeze,GPS-1,flexible,Stiff,114.5311381531854,True,3,40.6,40.6,6.7,9.3,10.7,8.9,5.1,False,B3_ac_permanent_deformation,5.55,0,0.84,2.6,1.0,0.6667,False,331.7,46.06,59.11,13.04,5,44.6,ok,
48_0001,Texas,Wet-NoFreeze,GPS-1,flexible,Stiff,699.912510936133,True,3,48.3,48.3,10.5,14.7,16.8,3.8,2.5,False,B3_ac_permanent_deformation,147.27,0,0.51,5.61,1.0,0.6667,False,506.7,70.37,83.41,13.04,5,44.9,ok,
